Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Awdal,1000000,1000000,1000000,1000000,1000000,1000000
Bakool,1000000,1000000,1000000,1000000,1000000,1000000
Banaadir,1000000,1000000,1000000,1000000,1000000,1000000
Bari,1000000,1000000,1000000,1000000,1000000,1000000
Bay,1000000,1000000,1000000,1000000,1000000,1000000
Galguduud,1000000,1000000,1000000,1000000,1000000,1000000
Gedo,1000000,1000000,1000000,1000000,1000000,1000000
Hiiraan,1000000,1000000,1000000,1000000,1000000,1000000
Jubbada Dhexe,1000000,1000000,1000000,1000000,1000000,1000000
Jubbada Hoose,1000000,1000000,1000000,1000000,1000000,1000000
Mudug,1000000,1000000,1000000,1000000,1000000,1000000
Nugaal,1000000,1000000,1000000,1000000,1000000,1000000
Sanaag,1000000,1000000,1000000,1000000,1000000,1000000
Shabeellaha Dhexe,1000000,1000000,1000000,1000000,1000000,1000000
Shabeellaha Hoose,1000000,1000000,1000000,1000000,1000000,1000000
Sool,1000000,1000000,1000000,1000000,1000000,1000000
Togdheer,1000000,1000000,1000000,1000000,1000000,1000000
Woqooyi Galbeed,1000000,1000000,1000000,1000000,1000000,1000000
