Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Awdal,50000,50000,50000,50000,50000,50000
Bakool,50000,50000,50000,50000,50000,50000
Banaadir,50000,50000,50000,50000,50000,50000
Bari,50000,50000,50000,50000,50000,50000
Bay,50000,50000,50000,50000,50000,50000
Galguduud,50000,50000,50000,50000,50000,50000
Gedo,50000,50000,50000,50000,50000,50000
Hiiraan,50000,50000,50000,50000,50000,50000
Jubbada Dhexe,50000,50000,50000,50000,50000,50000
Jubbada Hoose,50000,50000,50000,50000,50000,50000
Mudug,50000,50000,50000,50000,50000,50000
Nugaal,50000,50000,50000,50000,50000,50000
Sanaag,50000,50000,50000,50000,50000,50000
Shabeellaha Dhexe,50000,50000,50000,50000,50000,50000
Shabeellaha Hoose,50000,50000,50000,50000,50000,50000
Sool,50000,50000,50000,50000,50000,50000
Togdheer,50000,50000,50000,50000,50000,50000
Woqooyi Galbeed,50000,50000,50000,50000,50000,50000
