Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Eastern Cape,1000000,1000000,5000,1000000,1000000,5000
Free State,1000000,1000000,5000,1000000,1000000,5000
Gauteng,1000000,1000000,5000,1000000,1000000,5000
KwaZulu-Natal,1000000,1000000,5000,1000000,1000000,5000
Limpopo,1000000,1000000,5000,1000000,1000000,5000
Mpumalanga,1000000,1000000,5000,1000000,1000000,5000
North West,1000000,1000000,5000,1000000,1000000,5000
Northern Cape,1000000,1000000,5000,1000000,1000000,5000
Western Cape,1000000,1000000,5000,1000000,1000000,5000
Western Cape (isolated islands),1000000,1000000,5000,1000000,1000000,5000
