Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Eastern Cape,5000,5000,5000,5000,5000,5000
Free State,5000,5000,5000,5000,5000,5000
Gauteng,5000,5000,5000,5000,5000,5000
KwaZulu-Natal,5000,5000,5000,5000,5000,5000
Limpopo,5000,5000,5000,5000,5000,5000
Mpumalanga,5000,5000,5000,5000,5000,5000
North West,5000,5000,5000,5000,5000,5000
Northern Cape,5000,5000,5000,5000,5000,5000
Western Cape,5000,5000,5000,5000,5000,5000
Western Cape (isolated islands),5000,5000,5000,5000,5000,5000
