Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Eastern Cape,50000,50000,50000,50000,50000,50000
Free State,50000,50000,50000,50000,50000,50000
Gauteng,50000,50000,50000,50000,50000,50000
KwaZulu-Natal,50000,50000,50000,50000,50000,50000
Limpopo,50000,50000,50000,50000,50000,50000
Mpumalanga,50000,50000,50000,50000,50000,50000
North West,50000,50000,50000,50000,50000,50000
Northern Cape,50000,50000,50000,50000,50000,50000
Western Cape,50000,50000,50000,50000,50000,50000
Western Cape (isolated islands),50000,50000,50000,50000,50000,50000
