Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Andalucía,1000000,1000000,1000000,1000000,1000000,1000000
Aragón,1000000,1000000,1000000,1000000,1000000,1000000
Cantabria,1000000,1000000,1000000,1000000,1000000,1000000
Castilla-La Mancha,1000000,1000000,1000000,1000000,1000000,1000000
Castilla y León,1000000,1000000,1000000,1000000,1000000,1000000
Cataluña,1000000,1000000,1000000,1000000,1000000,1000000
Ceuta y Melilla,1000000,1000000,1000000,1000000,1000000,1000000
Comunidad de Madrid,1000000,1000000,1000000,1000000,1000000,1000000
Comunidad Foral de Navarra,1000000,1000000,1000000,1000000,1000000,1000000
Comunidad Valenciana,1000000,1000000,1000000,1000000,1000000,1000000
Extremadura,1000000,1000000,1000000,1000000,1000000,1000000
Galicia,1000000,1000000,1000000,1000000,1000000,1000000
Islas Baleares,1000000,1000000,1000000,1000000,1000000,1000000
Islas Canarias,1000000,1000000,1000000,1000000,1000000,1000000
La Rioja,1000000,1000000,1000000,1000000,1000000,1000000
País Vasco,1000000,1000000,1000000,1000000,1000000,1000000
Principado de Asturias,1000000,1000000,1000000,1000000,1000000,1000000
Región de Murcia,1000000,1000000,1000000,1000000,1000000,1000000
