Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Ampara,50000,50000,50000,50000,50000,50000
Anuradhapura,50000,50000,50000,50000,50000,50000
Badulla,50000,50000,50000,50000,50000,50000
Batticaloa,50000,50000,50000,50000,50000,50000
Colombo,50000,50000,50000,50000,50000,50000
Galle,50000,50000,50000,50000,50000,50000
Gampaha,50000,50000,50000,50000,50000,50000
Hambantota,50000,50000,50000,50000,50000,50000
Jaffna,50000,50000,50000,50000,50000,50000
Kalutara,50000,50000,50000,50000,50000,50000
Kandy,50000,50000,50000,50000,50000,50000
Kegalle,50000,50000,50000,50000,50000,50000
Kilinochchi,50000,50000,50000,50000,50000,50000
Kurunegala,50000,50000,50000,50000,50000,50000
Mannar,50000,50000,50000,50000,50000,50000
Matale,50000,50000,50000,50000,50000,50000
Matara,50000,50000,50000,50000,50000,50000
Moneragala,50000,50000,50000,50000,50000,50000
Mullaitivu,50000,50000,50000,50000,50000,50000
Nuwara Eliya,50000,50000,50000,50000,50000,50000
Polonnaruwa,50000,50000,50000,50000,50000,50000
Puttalam,50000,50000,50000,50000,50000,50000
Ratnapura,50000,50000,50000,50000,50000,50000
Trincomalee,50000,50000,50000,50000,50000,50000
Vavuniya,50000,50000,50000,50000,50000,50000
