Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Al Jazirah,500000,500000,500000,500000,500000,500000
Al Qadarif,500000,500000,500000,500000,500000,500000
Blue Nile,500000,500000,500000,500000,500000,500000
Central Darfur,500000,500000,500000,500000,500000,500000
East Darfur,500000,500000,500000,500000,500000,500000
Kassala,500000,500000,500000,500000,500000,500000
Khartoum,500000,500000,500000,500000,500000,500000
North Darfur,500000,500000,500000,500000,500000,500000
North Kurdufan,500000,500000,500000,500000,500000,500000
Northern,500000,500000,500000,500000,500000,500000
Red Sea,500000,500000,500000,500000,500000,500000
River Nile,500000,500000,500000,500000,500000,500000
Sennar,500000,500000,500000,500000,500000,500000
South Darfur,500000,500000,500000,500000,500000,500000
South Kurdufan,500000,500000,500000,500000,500000,500000
West Darfur,500000,500000,500000,500000,500000,500000
West Kurdufan,500000,500000,500000,500000,500000,500000
White Nile,500000,500000,500000,500000,500000,500000
