Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Al Jazirah,50000,50000,50000,50000,50000,50000
Al Qadarif,50000,50000,50000,50000,50000,50000
Blue Nile,50000,50000,50000,50000,50000,50000
Central Darfur,50000,50000,50000,50000,50000,50000
East Darfur,50000,50000,50000,50000,50000,50000
Kassala,50000,50000,50000,50000,50000,50000
Khartoum,50000,50000,50000,50000,50000,50000
North Darfur,50000,50000,50000,50000,50000,50000
North Kurdufan,50000,50000,50000,50000,50000,50000
Northern,50000,50000,50000,50000,50000,50000
Red Sea,50000,50000,50000,50000,50000,50000
River Nile,50000,50000,50000,50000,50000,50000
Sennar,50000,50000,50000,50000,50000,50000
South Darfur,50000,50000,50000,50000,50000,50000
South Kurdufan,50000,50000,50000,50000,50000,50000
West Darfur,50000,50000,50000,50000,50000,50000
West Kurdufan,50000,50000,50000,50000,50000,50000
White Nile,50000,50000,50000,50000,50000,50000
