Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Arusha,1000000,1000000,1000000,1000000,1000000,1000000
Dar-Es-Salaam,1000000,1000000,1000000,1000000,1000000,1000000
Dodoma,1000000,1000000,1000000,1000000,1000000,1000000
Iringa,1000000,1000000,1000000,1000000,1000000,1000000
Kagera,1000000,1000000,1000000,1000000,1000000,1000000
Kaskazini-Pemba,1000000,1000000,1000000,1000000,1000000,1000000
Kaskazini-Unguja,1000000,1000000,1000000,1000000,1000000,1000000
Kigoma,1000000,1000000,1000000,1000000,1000000,1000000
Kilimanjaro,1000000,1000000,1000000,1000000,1000000,1000000
Kusini-Pemba,1000000,1000000,1000000,1000000,1000000,1000000
Lindi,1000000,1000000,1000000,1000000,1000000,1000000
Manyara,1000000,1000000,1000000,1000000,1000000,1000000
Mara,1000000,1000000,1000000,1000000,1000000,1000000
Mbeya,1000000,1000000,1000000,1000000,1000000,1000000
Morogoro,1000000,1000000,1000000,1000000,1000000,1000000
Mtwara,1000000,1000000,1000000,1000000,1000000,1000000
Mwanza,1000000,1000000,1000000,1000000,1000000,1000000
Pwani,1000000,1000000,1000000,1000000,1000000,1000000
Rukwa,1000000,1000000,1000000,1000000,1000000,1000000
Ruvuma,1000000,1000000,1000000,1000000,1000000,1000000
Shinyanga,1000000,1000000,1000000,1000000,1000000,1000000
Singida,1000000,1000000,1000000,1000000,1000000,1000000
Tabora,1000000,1000000,1000000,1000000,1000000,1000000
Tanga,1000000,1000000,1000000,1000000,1000000,1000000
Zanzibar South and Central,1000000,1000000,1000000,1000000,1000000,1000000
Zanzibar West,1000000,1000000,1000000,1000000,1000000,1000000
