Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Arusha,50000,50000,50000,50000,50000,50000
Dar-Es-Salaam,50000,50000,50000,50000,50000,50000
Dodoma,50000,50000,50000,50000,50000,50000
Iringa,50000,50000,50000,50000,50000,50000
Kagera,50000,50000,50000,50000,50000,50000
Kaskazini-Pemba,50000,50000,50000,50000,50000,50000
Kaskazini-Unguja,50000,50000,50000,50000,50000,50000
Kigoma,50000,50000,50000,50000,50000,50000
Kilimanjaro,50000,50000,50000,50000,50000,50000
Kusini-Pemba,50000,50000,50000,50000,50000,50000
Lindi,50000,50000,50000,50000,50000,50000
Manyara,50000,50000,50000,50000,50000,50000
Mara,50000,50000,50000,50000,50000,50000
Mbeya,50000,50000,50000,50000,50000,50000
Morogoro,50000,50000,50000,50000,50000,50000
Mtwara,50000,50000,50000,50000,50000,50000
Mwanza,50000,50000,50000,50000,50000,50000
Pwani,50000,50000,50000,50000,50000,50000
Rukwa,50000,50000,50000,50000,50000,50000
Ruvuma,50000,50000,50000,50000,50000,50000
Shinyanga,50000,50000,50000,50000,50000,50000
Singida,50000,50000,50000,50000,50000,50000
Tabora,50000,50000,50000,50000,50000,50000
Tanga,50000,50000,50000,50000,50000,50000
Zanzibar South and Central,50000,50000,50000,50000,50000,50000
Zanzibar West,50000,50000,50000,50000,50000,50000
