Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Arusha,500000,500000,500000,500000,500000,500000
Dar-Es-Salaam,500000,500000,500000,500000,500000,500000
Dodoma,500000,500000,500000,500000,500000,500000
Iringa,500000,500000,500000,500000,500000,500000
Kagera,500000,500000,500000,500000,500000,500000
Kaskazini-Pemba,500000,500000,500000,500000,500000,500000
Kaskazini-Unguja,500000,500000,500000,500000,500000,500000
Kigoma,500000,500000,500000,500000,500000,500000
Kilimanjaro,500000,500000,500000,500000,500000,500000
Kusini-Pemba,500000,500000,500000,500000,500000,500000
Lindi,500000,500000,500000,500000,500000,500000
Manyara,500000,500000,500000,500000,500000,500000
Mara,500000,500000,500000,500000,500000,500000
Mbeya,500000,500000,500000,500000,500000,500000
Morogoro,500000,500000,500000,500000,500000,500000
Mtwara,500000,500000,500000,500000,500000,500000
Mwanza,500000,500000,500000,500000,500000,500000
Pwani,500000,500000,500000,500000,500000,500000
Rukwa,500000,500000,500000,500000,500000,500000
Ruvuma,500000,500000,500000,500000,500000,500000
Shinyanga,500000,500000,500000,500000,500000,500000
Singida,500000,500000,500000,500000,500000,500000
Tabora,500000,500000,500000,500000,500000,500000
Tanga,500000,500000,500000,500000,500000,500000
Zanzibar South and Central,500000,500000,500000,500000,500000,500000
Zanzibar West,500000,500000,500000,500000,500000,500000
