Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Ariana,1000000,1000000,1000000,1000000,1000000,1000000
Béja,1000000,1000000,1000000,1000000,1000000,1000000
Ben Arous (Tunis Sud),1000000,1000000,1000000,1000000,1000000,1000000
Bizerte,1000000,1000000,1000000,1000000,1000000,1000000
Gabès,1000000,1000000,1000000,1000000,1000000,1000000
Gafsa,1000000,1000000,1000000,1000000,1000000,1000000
Jendouba,1000000,1000000,1000000,1000000,1000000,1000000
Kairouan,1000000,1000000,1000000,1000000,1000000,1000000
Kassérine,1000000,1000000,1000000,1000000,1000000,1000000
Kebili,1000000,1000000,1000000,1000000,1000000,1000000
Le Kef,1000000,1000000,1000000,1000000,1000000,1000000
Mahdia,1000000,1000000,1000000,1000000,1000000,1000000
Manubah,1000000,1000000,1000000,1000000,1000000,1000000
Médenine,1000000,1000000,1000000,1000000,1000000,1000000
Monastir,1000000,1000000,1000000,1000000,1000000,1000000
Nabeul,1000000,1000000,1000000,1000000,1000000,1000000
Sfax,1000000,1000000,1000000,1000000,1000000,1000000
Sidi Bou Zid,1000000,1000000,1000000,1000000,1000000,1000000
Siliana,1000000,1000000,1000000,1000000,1000000,1000000
Sousse,1000000,1000000,1000000,1000000,1000000,1000000
Tataouine,1000000,1000000,1000000,1000000,1000000,1000000
Tozeur,1000000,1000000,1000000,1000000,1000000,1000000
Tunis,1000000,1000000,1000000,1000000,1000000,1000000
Zaghouan,1000000,1000000,1000000,1000000,1000000,1000000
