Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Ariana,3000000,3000000,3000000,3000000,3000000,3000000
Béja,3000000,3000000,3000000,3000000,3000000,3000000
Ben Arous (Tunis Sud),3000000,3000000,3000000,3000000,3000000,3000000
Bizerte,3000000,3000000,3000000,3000000,3000000,3000000
Gabès,3000000,3000000,3000000,3000000,3000000,3000000
Gafsa,3000000,3000000,3000000,3000000,3000000,3000000
Jendouba,3000000,3000000,3000000,3000000,3000000,3000000
Kairouan,3000000,3000000,3000000,3000000,3000000,3000000
Kassérine,3000000,3000000,3000000,3000000,3000000,3000000
Kebili,3000000,3000000,3000000,3000000,3000000,3000000
Le Kef,3000000,3000000,3000000,3000000,3000000,3000000
Mahdia,3000000,3000000,3000000,3000000,3000000,3000000
Manubah,3000000,3000000,3000000,3000000,3000000,3000000
Médenine,3000000,3000000,3000000,3000000,3000000,3000000
Monastir,3000000,3000000,3000000,3000000,3000000,3000000
Nabeul,3000000,3000000,3000000,3000000,3000000,3000000
Sfax,3000000,3000000,3000000,3000000,3000000,3000000
Sidi Bou Zid,3000000,3000000,3000000,3000000,3000000,3000000
Siliana,3000000,3000000,3000000,3000000,3000000,3000000
Sousse,3000000,3000000,3000000,3000000,3000000,3000000
Tataouine,3000000,3000000,3000000,3000000,3000000,3000000
Tozeur,3000000,3000000,3000000,3000000,3000000,3000000
Tunis,3000000,3000000,3000000,3000000,3000000,3000000
Zaghouan,3000000,3000000,3000000,3000000,3000000,3000000
