Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Ariana,200000,10000,50000,50000,80000,80000
Béja,200000,10000,50000,50000,80000,80000
Ben Arous (Tunis Sud),200000,10000,50000,50000,80000,80000
Bizerte,200000,10000,50000,50000,80000,80000
Gabès,200000,10000,50000,50000,80000,80000
Gafsa,200000,10000,50000,50000,80000,80000
Jendouba,200000,10000,50000,50000,80000,80000
Kairouan,200000,10000,50000,50000,80000,80000
Kassérine,200000,10000,50000,50000,80000,80000
Kebili,200000,10000,50000,50000,80000,80000
Le Kef,200000,10000,50000,50000,80000,80000
Mahdia,200000,10000,50000,50000,80000,80000
Manubah,200000,10000,50000,50000,80000,80000
Médenine,200000,10000,50000,50000,80000,80000
Monastir,200000,10000,50000,50000,80000,80000
Nabeul,200000,10000,50000,50000,80000,80000
Sfax,200000,10000,50000,50000,80000,80000
Sidi Bou Zid,200000,10000,50000,50000,80000,80000
Siliana,200000,10000,50000,50000,80000,80000
Sousse,200000,10000,50000,50000,80000,80000
Tataouine,200000,10000,50000,50000,80000,80000
Tozeur,200000,10000,50000,50000,80000,80000
Tunis,200000,10000,50000,50000,80000,80000
Zaghouan,200000,10000,50000,50000,80000,80000
