Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Ariana,50000,50000,50000,50000,50000,50000
Béja,50000,50000,50000,50000,50000,50000
Ben Arous (Tunis Sud),50000,50000,50000,50000,50000,50000
Bizerte,50000,50000,50000,50000,50000,50000
Gabès,50000,50000,50000,50000,50000,50000
Gafsa,50000,50000,50000,50000,50000,50000
Jendouba,50000,50000,50000,50000,50000,50000
Kairouan,50000,50000,50000,50000,50000,50000
Kassérine,50000,50000,50000,50000,50000,50000
Kebili,50000,50000,50000,50000,50000,50000
Le Kef,50000,50000,50000,50000,50000,50000
Mahdia,50000,50000,50000,50000,50000,50000
Manubah,50000,50000,50000,50000,50000,50000
Médenine,50000,50000,50000,50000,50000,50000
Monastir,50000,50000,50000,50000,50000,50000
Nabeul,50000,50000,50000,50000,50000,50000
Sfax,50000,50000,50000,50000,50000,50000
Sidi Bou Zid,50000,50000,50000,50000,50000,50000
Siliana,50000,50000,50000,50000,50000,50000
Sousse,50000,50000,50000,50000,50000,50000
Tataouine,50000,50000,50000,50000,50000,50000
Tozeur,50000,50000,50000,50000,50000,50000
Tunis,50000,50000,50000,50000,50000,50000
Zaghouan,50000,50000,50000,50000,50000,50000
