Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Zone1,1000000,1000000,1000000,1000000,1000000,1000000
Zone2,1000000,1000000,1000000,1000000,1000000,1000000
Zone3,1000000,1000000,1000000,1000000,1000000,1000000
Zone4,1000000,1000000,1000000,1000000,1000000,1000000
Zone5,1000000,1000000,1000000,1000000,1000000,1000000
Zone6,1000000,1000000,1000000,1000000,1000000,1000000
Zone7,1000000,1000000,1000000,1000000,1000000,1000000
Zone8,1000000,1000000,1000000,1000000,1000000,1000000
Zone9,1000000,1000000,1000000,1000000,1000000,1000000
Zone10,1000000,1000000,1000000,1000000,1000000,1000000
Zone11,1000000,1000000,1000000,1000000,1000000,1000000
Zone12,1000000,1000000,1000000,1000000,1000000,1000000
Zone13,1000000,1000000,1000000,1000000,1000000,1000000
Zone14,1000000,1000000,1000000,1000000,1000000,1000000
Zone15,1000000,1000000,1000000,1000000,1000000,1000000
