Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Zone1,500000,500000,500000,500000,500000,500000
Zone2,500000,500000,500000,500000,500000,500000
Zone3,500000,500000,500000,500000,500000,500000
Zone4,500000,500000,500000,500000,500000,500000
Zone5,500000,500000,500000,500000,500000,500000
Zone6,500000,500000,500000,500000,500000,500000
Zone7,500000,500000,500000,500000,500000,500000
Zone8,500000,500000,500000,500000,500000,500000
Zone9,500000,500000,500000,500000,500000,500000
Zone10,500000,500000,500000,500000,500000,500000
Zone11,500000,500000,500000,500000,500000,500000
Zone12,500000,500000,500000,500000,500000,500000
Zone13,500000,500000,500000,500000,500000,500000
Zone14,500000,500000,500000,500000,500000,500000
Zone15,500000,500000,500000,500000,500000,500000
