Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
eventid,1000000,1000000,1000000,1000000,1000000,1000000
ABHU DHABI,1000000,1000000,1000000,1000000,1000000,1000000
AJMAN,1000000,1000000,1000000,1000000,1000000,1000000
AL AIN,1000000,1000000,1000000,1000000,1000000,1000000
DUBAI,1000000,1000000,1000000,1000000,1000000,1000000
FUJAIRAH,1000000,1000000,1000000,1000000,1000000,1000000
JEBEL ALI,1000000,1000000,1000000,1000000,1000000,1000000
KHORFACAN,1000000,1000000,1000000,1000000,1000000,1000000
MUSAFFAH,1000000,1000000,1000000,1000000,1000000,1000000
RAS_AL_KHAMIAH,1000000,1000000,1000000,1000000,1000000,1000000
SHARJAH,1000000,1000000,1000000,1000000,1000000,1000000
UMM_AL_QUWAIN,1000000,1000000,1000000,1000000,1000000,1000000
VARIOUS,1000000,1000000,1000000,1000000,1000000,1000000
