Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Adjumani,50000,50000,50000,50000,50000,50000
Apac,50000,50000,50000,50000,50000,50000
Arua,50000,50000,50000,50000,50000,50000
Bugiri,50000,50000,50000,50000,50000,50000
Bundibugyo,50000,50000,50000,50000,50000,50000
Bushenyi,50000,50000,50000,50000,50000,50000
Busia,50000,50000,50000,50000,50000,50000
Gulu,50000,50000,50000,50000,50000,50000
Hoima,50000,50000,50000,50000,50000,50000
Iganga,50000,50000,50000,50000,50000,50000
Jinja,50000,50000,50000,50000,50000,50000
Kabale,50000,50000,50000,50000,50000,50000
Kabarole,50000,50000,50000,50000,50000,50000
Kaberamaido,50000,50000,50000,50000,50000,50000
Kalangala,50000,50000,50000,50000,50000,50000
Kampala,50000,50000,50000,50000,50000,50000
Kamuli,50000,50000,50000,50000,50000,50000
Kamwenge,50000,50000,50000,50000,50000,50000
Kanungu,50000,50000,50000,50000,50000,50000
Kapchorwa,50000,50000,50000,50000,50000,50000
Kasese,50000,50000,50000,50000,50000,50000
Katakwi,50000,50000,50000,50000,50000,50000
Kayunga,50000,50000,50000,50000,50000,50000
Kibale,50000,50000,50000,50000,50000,50000
Kiboga,50000,50000,50000,50000,50000,50000
Kisoro,50000,50000,50000,50000,50000,50000
Kitgum,50000,50000,50000,50000,50000,50000
Kotido,50000,50000,50000,50000,50000,50000
Kumi,50000,50000,50000,50000,50000,50000
Kyenjojo,50000,50000,50000,50000,50000,50000
Lake Albert,50000,50000,50000,50000,50000,50000
Lake Victoria,50000,50000,50000,50000,50000,50000
Lira,50000,50000,50000,50000,50000,50000
Luwero,50000,50000,50000,50000,50000,50000
Masaka,50000,50000,50000,50000,50000,50000
Masindi,50000,50000,50000,50000,50000,50000
Mayuge,50000,50000,50000,50000,50000,50000
Mbale,50000,50000,50000,50000,50000,50000
Mbarara,50000,50000,50000,50000,50000,50000
Moroto,50000,50000,50000,50000,50000,50000
Moyo,50000,50000,50000,50000,50000,50000
Mpigi,50000,50000,50000,50000,50000,50000
Mubende,50000,50000,50000,50000,50000,50000
Mukono,50000,50000,50000,50000,50000,50000
Nakapiripirit,50000,50000,50000,50000,50000,50000
Nakasongola,50000,50000,50000,50000,50000,50000
Nebbi,50000,50000,50000,50000,50000,50000
Ntungamo,50000,50000,50000,50000,50000,50000
Pader,50000,50000,50000,50000,50000,50000
Pallisa,50000,50000,50000,50000,50000,50000
Rakai,50000,50000,50000,50000,50000,50000
Rukungiri,50000,50000,50000,50000,50000,50000
Sembabule,50000,50000,50000,50000,50000,50000
Sironko,50000,50000,50000,50000,50000,50000
Soroti,50000,50000,50000,50000,50000,50000
Tororo,50000,50000,50000,50000,50000,50000
Wakiso,50000,50000,50000,50000,50000,50000
Yumbe,50000,50000,50000,50000,50000,50000
