Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Adjumani,500000,500000,500000,500000,500000,500000
Apac,500000,500000,500000,500000,500000,500000
Arua,500000,500000,500000,500000,500000,500000
Bugiri,500000,500000,500000,500000,500000,500000
Bundibugyo,500000,500000,500000,500000,500000,500000
Bushenyi,500000,500000,500000,500000,500000,500000
Busia,500000,500000,500000,500000,500000,500000
Gulu,500000,500000,500000,500000,500000,500000
Hoima,500000,500000,500000,500000,500000,500000
Iganga,500000,500000,500000,500000,500000,500000
Jinja,500000,500000,500000,500000,500000,500000
Kabale,500000,500000,500000,500000,500000,500000
Kabarole,500000,500000,500000,500000,500000,500000
Kaberamaido,500000,500000,500000,500000,500000,500000
Kalangala,500000,500000,500000,500000,500000,500000
Kampala,500000,500000,500000,500000,500000,500000
Kamuli,500000,500000,500000,500000,500000,500000
Kamwenge,500000,500000,500000,500000,500000,500000
Kanungu,500000,500000,500000,500000,500000,500000
Kapchorwa,500000,500000,500000,500000,500000,500000
Kasese,500000,500000,500000,500000,500000,500000
Katakwi,500000,500000,500000,500000,500000,500000
Kayunga,500000,500000,500000,500000,500000,500000
Kibale,500000,500000,500000,500000,500000,500000
Kiboga,500000,500000,500000,500000,500000,500000
Kisoro,500000,500000,500000,500000,500000,500000
Kitgum,500000,500000,500000,500000,500000,500000
Kotido,500000,500000,500000,500000,500000,500000
Kumi,500000,500000,500000,500000,500000,500000
Kyenjojo,500000,500000,500000,500000,500000,500000
Lake Albert,500000,500000,500000,500000,500000,500000
Lake Victoria,500000,500000,500000,500000,500000,500000
Lira,500000,500000,500000,500000,500000,500000
Luwero,500000,500000,500000,500000,500000,500000
Masaka,500000,500000,500000,500000,500000,500000
Masindi,500000,500000,500000,500000,500000,500000
Mayuge,500000,500000,500000,500000,500000,500000
Mbale,500000,500000,500000,500000,500000,500000
Mbarara,500000,500000,500000,500000,500000,500000
Moroto,500000,500000,500000,500000,500000,500000
Moyo,500000,500000,500000,500000,500000,500000
Mpigi,500000,500000,500000,500000,500000,500000
Mubende,500000,500000,500000,500000,500000,500000
Mukono,500000,500000,500000,500000,500000,500000
Nakapiripirit,500000,500000,500000,500000,500000,500000
Nakasongola,500000,500000,500000,500000,500000,500000
Nebbi,500000,500000,500000,500000,500000,500000
Ntungamo,500000,500000,500000,500000,500000,500000
Pader,500000,500000,500000,500000,500000,500000
Pallisa,500000,500000,500000,500000,500000,500000
Rakai,500000,500000,500000,500000,500000,500000
Rukungiri,500000,500000,500000,500000,500000,500000
Sembabule,500000,500000,500000,500000,500000,500000
Sironko,500000,500000,500000,500000,500000,500000
Soroti,500000,500000,500000,500000,500000,500000
Tororo,500000,500000,500000,500000,500000,500000
Wakiso,500000,500000,500000,500000,500000,500000
Yumbe,500000,500000,500000,500000,500000,500000
