Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Cherkasy,1000000,1000000,1000000,1000000,1000000,1000000
Chernihiv,1000000,1000000,1000000,1000000,1000000,1000000
Chernivtsi,1000000,1000000,1000000,1000000,1000000,1000000
Crimea,1000000,1000000,1000000,1000000,1000000,1000000
Dnipropetrovs'k,1000000,1000000,1000000,1000000,1000000,1000000
Donets'k,1000000,1000000,1000000,1000000,1000000,1000000
Ivano-Frankivs'k,1000000,1000000,1000000,1000000,1000000,1000000
Kharkiv,1000000,1000000,1000000,1000000,1000000,1000000
Kherson,1000000,1000000,1000000,1000000,1000000,1000000
Khmel'nyts'kyy,1000000,1000000,1000000,1000000,1000000,1000000
Kiev City,1000000,1000000,1000000,1000000,1000000,1000000
Kiev,1000000,1000000,1000000,1000000,1000000,1000000
Kirovohrad,1000000,1000000,1000000,1000000,1000000,1000000
L'viv,1000000,1000000,1000000,1000000,1000000,1000000
Luhans'k,1000000,1000000,1000000,1000000,1000000,1000000
Mykolayiv,1000000,1000000,1000000,1000000,1000000,1000000
Odessa,1000000,1000000,1000000,1000000,1000000,1000000
Poltava,1000000,1000000,1000000,1000000,1000000,1000000
Rivne,1000000,1000000,1000000,1000000,1000000,1000000
Sevastopol',1000000,1000000,1000000,1000000,1000000,1000000
Sumy,1000000,1000000,1000000,1000000,1000000,1000000
Ternopil',1000000,1000000,1000000,1000000,1000000,1000000
Transcarpathia,1000000,1000000,1000000,1000000,1000000,1000000
Vinnytsya,1000000,1000000,1000000,1000000,1000000,1000000
Volyn,1000000,1000000,1000000,1000000,1000000,1000000
Zaporizhzhya,1000000,1000000,1000000,1000000,1000000,1000000
Zhytomyr,1000000,1000000,1000000,1000000,1000000,1000000
