Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Central,1000000,1000000,1000000,1000000,1000000,1000000
Copperbelt,1000000,1000000,1000000,1000000,1000000,1000000
Eastern,1000000,1000000,1000000,1000000,1000000,1000000
Luapula,1000000,1000000,1000000,1000000,1000000,1000000
Lusaka,1000000,1000000,1000000,1000000,1000000,1000000
Muchinga,1000000,1000000,1000000,1000000,1000000,1000000
North-Western,1000000,1000000,1000000,1000000,1000000,1000000
Northern,1000000,1000000,1000000,1000000,1000000,1000000
Southern,1000000,1000000,1000000,1000000,1000000,1000000
Western,1000000,1000000,1000000,1000000,1000000,1000000
