Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Central,10000000,10000000,10000000,10000000,10000000,10000000
Copperbelt,10000000,10000000,10000000,10000000,10000000,10000000
Eastern,10000000,10000000,10000000,10000000,10000000,10000000
Luapula,10000000,10000000,10000000,10000000,10000000,10000000
Lusaka,10000000,10000000,10000000,10000000,10000000,10000000
Muchinga,10000000,10000000,10000000,10000000,10000000,10000000
North-Western,10000000,10000000,10000000,10000000,10000000,10000000
Northern,10000000,10000000,10000000,10000000,10000000,10000000
Southern,10000000,10000000,10000000,10000000,10000000,10000000
Western,10000000,10000000,10000000,10000000,10000000,10000000
