Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Bulawayo,1000000,1000000,1000000,1000000,1000000,1000000
Harare,1000000,1000000,1000000,1000000,1000000,1000000
Manicaland,1000000,1000000,1000000,1000000,1000000,1000000
Mashonaland Central,1000000,1000000,1000000,1000000,1000000,1000000
Mashonaland East,1000000,1000000,1000000,1000000,1000000,1000000
Mashonaland West,1000000,1000000,1000000,1000000,1000000,1000000
Masvingo,1000000,1000000,1000000,1000000,1000000,1000000
Matabeleland North,1000000,1000000,1000000,1000000,1000000,1000000
Matabeleland South,1000000,1000000,1000000,1000000,1000000,1000000
Midlands,1000000,1000000,1000000,1000000,1000000,1000000
