Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Central,500000,500000,500000,500000,500000,500000
Copperbelt,500000,500000,500000,500000,500000,500000
Eastern,500000,500000,500000,500000,500000,500000
Luapula,500000,500000,500000,500000,500000,500000
Lusaka,500000,500000,500000,500000,500000,500000
Muchinga,500000,500000,500000,500000,500000,500000
North-Western,500000,500000,500000,500000,500000,500000
Northern,500000,500000,500000,500000,500000,500000
Southern,500000,500000,500000,500000,500000,500000
Western,500000,500000,500000,500000,500000,500000
