Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Bulawayo,500000,500000,500000,500000,500000,500000
Harare,500000,500000,500000,500000,500000,500000
Manicaland,500000,500000,500000,500000,500000,500000
Mashonaland Central,500000,500000,500000,500000,500000,500000
Mashonaland East,500000,500000,500000,500000,500000,500000
Mashonaland West,500000,500000,500000,500000,500000,500000
Masvingo,500000,500000,500000,500000,500000,500000
Matabeleland North,500000,500000,500000,500000,500000,500000
Matabeleland South,500000,500000,500000,500000,500000,500000
Midlands,500000,500000,500000,500000,500000,500000
