Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Bulawayo,2000000,2000000,2000000,2000000,2000000,2000000
Harare,2000000,2000000,2000000,2000000,2000000,2000000
Manicaland,2000000,2000000,2000000,2000000,2000000,2000000
Mashonaland Central,2000000,2000000,2000000,2000000,2000000,2000000
Mashonaland East,2000000,2000000,2000000,2000000,2000000,2000000
Mashonaland West,2000000,2000000,2000000,2000000,2000000,2000000
Masvingo,2000000,2000000,2000000,2000000,2000000,2000000
Matabeleland North,2000000,2000000,2000000,2000000,2000000,2000000
Matabeleland South,2000000,2000000,2000000,2000000,2000000,2000000
Midlands,2000000,2000000,2000000,2000000,2000000,2000000
