Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Bulawayo,50000,50000,50000,50000,50000,50000
Harare,50000,50000,50000,50000,50000,50000
Manicaland,50000,50000,50000,50000,50000,50000
Mashonaland Central,50000,50000,50000,50000,50000,50000
Mashonaland East,50000,50000,50000,50000,50000,50000
Mashonaland West,50000,50000,50000,50000,50000,50000
Masvingo,50000,50000,50000,50000,50000,50000
Matabeleland North,50000,50000,50000,50000,50000,50000
Matabeleland South,50000,50000,50000,50000,50000,50000
Midlands,50000,50000,50000,50000,50000,50000
